AccidentDate,Timing,State,WeatherCondition,RoadCondition,Deaths,Reason
10-08-2003,Night,Arizona,Rainy,Under Construction,2,Distracted Driving
26-07-2021,Evening,Wisconsin,Rainy,Fine,3,Poor Visibility
20-10-2018,Night,California,Foggy,Fine,8,Road Conditions
09-06-2005,Afternoon,Nevada,Foggy,Fine,10,Speeding
29-09-2005,Night,Pennsylvania,Rainy,Under Construction,7,Speeding
21-06-2012,Afternoon,Wyoming,Clear,Rough,1,Weather Conditions
09-08-2021,Night,New Mexico,Foggy,Fine,1,Distracted Driving
19-05-2017,Night,Nevada,Foggy,Rough,5,Drunk Driving
10-01-2015,Night,Washington,Foggy,Rough,7,Drunk Driving
09-09-2016,Night,Ohio,Clear,Under Construction,2,Weather Conditions
03-01-2010,Afternoon,Indiana,Rainy,Fine,1,Driver Fatigue
22-02-2013,Night,Indiana,Clear,Fine,0,Drunk Driving
18-03-2021,Night,Illinois,Clear,Rough,0,Driver Fatigue
16-08-2005,Night,Vermont,Foggy,Under Construction,2,Reckless Driving
09-07-2012,Night,Georgia,Clear,Rough,7,Drunk Driving
23-01-2006,Night,New York,Foggy,Under Construction,8,Road Conditions
07-10-2008,Afternoon,New York,Foggy,Rough,5,Distracted Driving
08-08-2008,Evening,Pennsylvania,Rainy,Rough,3,Mechanical Failure
21-12-2023,Evening,Indiana,Foggy,Fine,8,Weather Conditions
04-09-2006,Night,Texas,Rainy,Under Construction,8,Driver Fatigue
21-11-2002,Afternoon,Georgia,Foggy,Under Construction,4,Speeding
15-06-2006,Night,Wyoming,Foggy,Fine,10,Drunk Driving
07-10-2019,Night,Colorado,Foggy,Fine,2,Reckless Driving
15-07-2011,Afternoon,Pennsylvania,Clear,Under Construction,4,Driver Fatigue
14-01-2012,Morning,Wyoming,Clear,Fine,2,Speeding
23-10-2012,Afternoon,Nevada,Rainy,Under Construction,3,Poor Visibility
23-07-2001,Evening,South Carolina,Rainy,Rough,4,Reckless Driving
05-02-2023,Afternoon,North Carolina,Clear,Rough,7,Road Conditions
13-08-2001,Evening,Iowa,Rainy,Under Construction,6,Road Conditions
29-12-2003,Night,Wisconsin,Foggy,Fine,10,Drunk Driving
18-08-2023,Morning,Iowa,Rainy,Rough,6,Poor Visibility
03-01-2002,Night,Arizona,Foggy,Fine,2,Mechanical Failure
07-02-2014,Afternoon,Georgia,Rainy,Fine,3,Reckless Driving
19-07-2012,Morning,Washington,Clear,Fine,9,Reckless Driving
28-08-2006,Afternoon,South Carolina,Foggy,Fine,6,Speeding
30-07-2004,Afternoon,Indiana,Rainy,Rough,4,Poor Visibility
04-08-2010,Afternoon,South Carolina,Foggy,Rough,5,Distracted Driving
18-10-2010,Afternoon,New Mexico,Rainy,Rough,7,Speeding
04-01-2021,Evening,New York,Rainy,Fine,1,Weather Conditions
07-07-2001,Morning,California,Clear,Under Construction,3,Road Conditions
10-06-2005,Night,Michigan,Foggy,Under Construction,4,Mechanical Failure
19-05-2006,Night,Vermont,Foggy,Fine,2,Reckless Driving
18-01-2012,Morning,Texas,Rainy,Under Construction,2,Reckless Driving
24-05-2010,Night,Florida,Rainy,Under Construction,7,Weather Conditions
13-05-2003,Evening,Alaska,Foggy,Rough,4,Distracted Driving
03-01-2009,Morning,Louisiana,Rainy,Under Construction,8,Driver Fatigue
11-08-2021,Evening,Arizona,Clear,Under Construction,5,Distracted Driving
15-04-2010,Night,Washington,Foggy,Under Construction,5,Distracted Driving
20-11-2002,Morning,New York,Rainy,Under Construction,4,Driver Fatigue
06-07-2004,Evening,Colorado,Foggy,Rough,0,Mechanical Failure
11-04-2000,Evening,Florida,Rainy,Under Construction,7,Reckless Driving
03-01-2008,Afternoon,Texas,Rainy,Under Construction,3,Mechanical Failure
11-12-2001,Afternoon,Indiana,Foggy,Rough,1,Speeding
13-03-2013,Night,South Carolina,Foggy,Under Construction,0,Road Conditions
16-07-2018,Morning,Michigan,Clear,Under Construction,0,Reckless Driving
15-07-2006,Afternoon,Texas,Clear,Rough,2,Reckless Driving
13-08-2018,Morning,New Mexico,Rainy,Fine,1,Reckless Driving
08-03-2010,Evening,Nevada,Rainy,Fine,6,Distracted Driving
02-11-2004,Evening,Alaska,Foggy,Fine,7,Speeding
23-08-2002,Evening,Alaska,Rainy,Under Construction,5,Road Conditions
05-05-2000,Afternoon,Iowa,Rainy,Rough,7,Mechanical Failure
17-12-2014,Afternoon,California,Foggy,Rough,5,Mechanical Failure
19-07-2013,Morning,Minnesota,Rainy,Fine,2,Distracted Driving
13-09-2017,Night,Vermont,Foggy,Fine,1,Drunk Driving
06-06-2015,Morning,Michigan,Rainy,Rough,1,Drunk Driving
21-08-2011,Night,Texas,Foggy,Fine,3,Drunk Driving
31-08-2009,Afternoon,Washington,Clear,Under Construction,5,Mechanical Failure
13-12-2004,Evening,California,Rainy,Under Construction,10,Poor Visibility
22-02-2017,Evening,New Mexico,Clear,Fine,3,Drunk Driving
13-08-2007,Night,Colorado,Foggy,Rough,1,Reckless Driving
29-01-2015,Night,Montana,Clear,Under Construction,6,Speeding
26-02-2023,Afternoon,Wisconsin,Clear,Under Construction,4,Speeding
30-06-2016,Night,Nevada,Rainy,Under Construction,4,Weather Conditions
11-01-2009,Morning,Louisiana,Rainy,Fine,8,Mechanical Failure
28-12-2020,Afternoon,Michigan,Foggy,Fine,5,Weather Conditions
17-07-2009,Morning,Montana,Foggy,Under Construction,4,Driver Fatigue
23-11-2007,Night,West Virginia,Foggy,Under Construction,2,Reckless Driving
30-12-2021,Night,Minnesota,Clear,Fine,8,Weather Conditions
03-03-2011,Afternoon,California,Foggy,Fine,10,Reckless Driving
08-04-2013,Night,New Mexico,Clear,Rough,1,Drunk Driving
18-02-2009,Morning,Illinois,Foggy,Under Construction,8,Road Conditions
19-06-2013,Night,Indiana,Foggy,Fine,0,Road Conditions
25-02-2023,Evening,Vermont,Clear,Fine,0,Speeding
27-02-2021,Evening,North Carolina,Clear,Fine,10,Driver Fatigue
02-11-2023,Night,Pennsylvania,Rainy,Under Construction,4,Poor Visibility
01-12-2016,Morning,Washington,Foggy,Rough,8,Driver Fatigue
02-03-2010,Afternoon,Iowa,Clear,Fine,0,Weather Conditions
18-04-2016,Morning,Alaska,Rainy,Fine,5,Reckless Driving
21-05-2012,Evening,Wisconsin,Foggy,Fine,4,Weather Conditions
11-08-2022,Night,Colorado,Foggy,Fine,0,Distracted Driving
04-05-2014,Evening,California,Foggy,Rough,3,Road Conditions
07-02-2017,Morning,New Mexico,Clear,Under Construction,7,Drunk Driving
29-09-2007,Evening,South Carolina,Clear,Fine,8,Driver Fatigue
03-05-2014,Afternoon,New York,Clear,Under Construction,9,Speeding
20-01-2016,Afternoon,New York,Rainy,Rough,5,Mechanical Failure
17-03-2006,Evening,Michigan,Foggy,Under Construction,6,Weather Conditions
12-06-2004,Morning,Florida,Clear,Fine,8,Poor Visibility
06-08-2014,Evening,Georgia,Rainy,Fine,1,Road Conditions
10-05-2006,Afternoon,Iowa,Rainy,Rough,1,Road Conditions
09-03-2007,Afternoon,West Virginia,Rainy,Fine,9,Driver Fatigue
02-11-2023,Afternoon,South Carolina,Foggy,Rough,2,Distracted Driving
04-02-2000,Evening,Georgia,Clear,Rough,9,Weather Conditions
07-10-2022,Morning,Indiana,Rainy,Fine,10,Weather Conditions
02-09-2011,Night,Illinois,Foggy,Under Construction,9,Speeding
20-09-2007,Night,Georgia,Clear,Rough,4,Driver Fatigue
05-10-2022,Night,New Jersey,Clear,Fine,3,Poor Visibility
15-12-2016,Morning,Wyoming,Clear,Under Construction,9,Poor Visibility
17-04-2008,Afternoon,Alaska,Clear,Fine,10,Speeding
07-10-2016,Morning,Pennsylvania,Clear,Under Construction,10,Mechanical Failure
03-10-2018,Afternoon,Pennsylvania,Clear,Fine,10,Speeding
11-02-2016,Morning,Wisconsin,Clear,Fine,3,Distracted Driving
12-11-2009,Night,Pennsylvania,Foggy,Rough,0,Poor Visibility
09-04-2021,Night,Florida,Foggy,Fine,9,Poor Visibility
20-01-2001,Morning,Arizona,Clear,Fine,4,Poor Visibility
27-11-2023,Afternoon,North Carolina,Rainy,Under Construction,4,Reckless Driving
25-02-2012,Morning,Arizona,Clear,Rough,10,Weather Conditions
25-09-2017,Morning,Pennsylvania,Foggy,Under Construction,2,Road Conditions
12-09-2003,Morning,Minnesota,Rainy,Under Construction,3,Speeding
08-06-2017,Evening,Washington,Foggy,Under Construction,10,Weather Conditions
09-01-2002,Evening,Wyoming,Clear,Under Construction,4,Road Conditions
02-07-2022,Morning,Ohio,Rainy,Rough,9,Driver Fatigue
23-05-2001,Morning,Wyoming,Clear,Fine,9,Reckless Driving
21-03-2016,Afternoon,Colorado,Foggy,Rough,1,Speeding
14-09-2022,Afternoon,Virginia,Clear,Under Construction,9,Speeding
19-02-2014,Night,Arizona,Foggy,Rough,0,Road Conditions
14-12-2002,Afternoon,Virginia,Rainy,Rough,2,Mechanical Failure
28-03-2010,Morning,Nevada,Rainy,Fine,6,Mechanical Failure
12-05-2000,Morning,Florida,Foggy,Fine,10,Weather Conditions
26-04-2000,Morning,Indiana,Foggy,Fine,1,Mechanical Failure
21-07-2000,Night,New Mexico,Clear,Under Construction,0,Drunk Driving
13-07-2006,Afternoon,Michigan,Rainy,Under Construction,6,Driver Fatigue
25-12-2010,Night,Texas,Clear,Fine,4,Poor Visibility
19-12-2011,Morning,Wisconsin,Foggy,Fine,7,Road Conditions
24-02-2001,Night,New York,Clear,Fine,3,Reckless Driving
14-03-2010,Afternoon,Minnesota,Rainy,Rough,8,Driver Fatigue
01-11-2005,Night,New Jersey,Clear,Under Construction,2,Drunk Driving
15-02-2013,Morning,New Mexico,Foggy,Fine,3,Speeding
07-01-2003,Afternoon,Arizona,Clear,Under Construction,0,Reckless Driving
14-12-2023,Night,West Virginia,Clear,Under Construction,0,Road Conditions
31-01-2000,Night,New Mexico,Clear,Under Construction,7,Speeding
01-01-2002,Morning,Louisiana,Clear,Under Construction,1,Road Conditions
20-05-2007,Morning,North Carolina,Clear,Fine,5,Reckless Driving
01-05-2001,Night,Colorado,Rainy,Fine,2,Poor Visibility
13-03-2000,Evening,Georgia,Foggy,Under Construction,9,Distracted Driving
13-08-2021,Afternoon,Louisiana,Rainy,Fine,9,Speeding
29-12-2022,Morning,Wisconsin,Rainy,Fine,2,Road Conditions
05-10-2019,Night,West Virginia,Clear,Under Construction,1,Road Conditions
25-05-2023,Night,Florida,Foggy,Rough,1,Speeding
19-08-2008,Night,Illinois,Foggy,Under Construction,10,Drunk Driving
22-08-2015,Morning,South Carolina,Rainy,Rough,9,Poor Visibility
20-02-2018,Evening,Nevada,Clear,Under Construction,1,Distracted Driving
17-05-2017,Afternoon,Pennsylvania,Rainy,Fine,1,Drunk Driving
23-06-2020,Evening,West Virginia,Foggy,Under Construction,4,Speeding
22-04-2013,Morning,Arizona,Foggy,Under Construction,6,Speeding
26-07-2016,Morning,Minnesota,Foggy,Fine,6,Road Conditions
18-07-2010,Afternoon,Michigan,Foggy,Rough,2,Mechanical Failure
11-10-2021,Morning,South Carolina,Foggy,Under Construction,2,Mechanical Failure
20-01-2008,Afternoon,New York,Foggy,Under Construction,7,Distracted Driving
03-06-2001,Morning,Indiana,Rainy,Under Construction,0,Mechanical Failure
25-12-2001,Evening,Minnesota,Rainy,Rough,2,Reckless Driving
23-04-2006,Night,Florida,Clear,Rough,9,Poor Visibility
19-10-2019,Night,Minnesota,Foggy,Rough,5,Distracted Driving
07-10-2014,Night,Indiana,Clear,Rough,6,Weather Conditions
15-08-2013,Night,Georgia,Foggy,Fine,7,Driver Fatigue
15-11-2008,Afternoon,New Jersey,Clear,Fine,7,Driver Fatigue
03-02-2018,Afternoon,North Carolina,Foggy,Under Construction,5,Driver Fatigue
08-09-2007,Afternoon,Wisconsin,Foggy,Under Construction,8,Speeding
22-06-2003,Night,West Virginia,Clear,Fine,5,Driver Fatigue
15-09-2021,Morning,Virginia,Rainy,Under Construction,4,Poor Visibility
21-02-2004,Night,South Carolina,Rainy,Under Construction,5,Poor Visibility
13-05-2017,Night,North Carolina,Foggy,Rough,5,Poor Visibility
09-02-2020,Night,Georgia,Rainy,Fine,6,Drunk Driving
12-04-2017,Morning,Louisiana,Clear,Rough,1,Distracted Driving
13-11-2010,Afternoon,Vermont,Clear,Fine,1,Driver Fatigue
05-07-2001,Evening,Vermont,Clear,Under Construction,8,Weather Conditions
31-12-2016,Night,Minnesota,Foggy,Rough,0,Driver Fatigue
23-03-2003,Morning,Alaska,Foggy,Under Construction,5,Poor Visibility
22-08-2003,Evening,North Carolina,Rainy,Fine,7,Reckless Driving
07-12-2011,Evening,South Carolina,Foggy,Fine,8,Reckless Driving
29-03-2013,Morning,New Mexico,Rainy,Under Construction,9,Weather Conditions
12-09-2000,Afternoon,Arizona,Foggy,Fine,1,Drunk Driving
30-05-2000,Afternoon,West Virginia,Foggy,Rough,5,Speeding
10-08-2016,Evening,Montana,Foggy,Fine,10,Driver Fatigue
09-10-2007,Morning,New Mexico,Rainy,Fine,7,Distracted Driving
03-11-2001,Night,New York,Clear,Rough,7,Weather Conditions
29-07-2017,Night,Pennsylvania,Rainy,Fine,4,Mechanical Failure
28-07-2012,Afternoon,Colorado,Foggy,Fine,4,Distracted Driving
08-08-2013,Morning,Georgia,Clear,Rough,7,Drunk Driving
11-12-2013,Evening,Ohio,Clear,Under Construction,5,Mechanical Failure
23-11-2020,Night,Wyoming,Rainy,Under Construction,0,Poor Visibility
29-09-2007,Morning,Indiana,Rainy,Rough,6,Speeding
25-08-2000,Night,Florida,Rainy,Fine,8,Weather Conditions
28-12-2006,Evening,Louisiana,Foggy,Fine,6,Speeding
22-08-2000,Afternoon,Virginia,Clear,Fine,1,Mechanical Failure
04-10-2004,Morning,Minnesota,Rainy,Rough,4,Driver Fatigue
21-12-2021,Night,Minnesota,Foggy,Rough,7,Mechanical Failure
08-05-2008,Morning,Texas,Foggy,Fine,7,Drunk Driving
21-04-2009,Evening,Wisconsin,Clear,Rough,3,Driver Fatigue
07-10-2003,Morning,Minnesota,Foggy,Fine,7,Weather Conditions
17-10-2014,Evening,Washington,Clear,Under Construction,7,Drunk Driving
20-06-2022,Evening,Minnesota,Rainy,Rough,7,Driver Fatigue
06-02-2002,Afternoon,Colorado,Foggy,Under Construction,1,Mechanical Failure
13-07-2003,Night,North Carolina,Rainy,Rough,4,Drunk Driving
16-11-2004,Night,Colorado,Clear,Fine,6,Drunk Driving
29-05-2014,Morning,South Carolina,Foggy,Under Construction,1,Road Conditions
07-09-2001,Evening,Texas,Clear,Rough,0,Weather Conditions
13-09-2009,Morning,Wyoming,Foggy,Rough,2,Road Conditions
25-11-2006,Morning,New Jersey,Foggy,Fine,9,Distracted Driving
29-11-2008,Night,Georgia,Clear,Rough,6,Drunk Driving
18-06-2013,Morning,Colorado,Clear,Under Construction,8,Drunk Driving
30-04-2000,Night,Louisiana,Rainy,Under Construction,7,Reckless Driving
13-04-2020,Evening,Indiana,Rainy,Under Construction,9,Mechanical Failure
31-01-2011,Night,Louisiana,Clear,Under Construction,10,Mechanical Failure
07-02-2004,Evening,Pennsylvania,Rainy,Fine,3,Weather Conditions
27-11-2001,Morning,New Jersey,Rainy,Under Construction,5,Drunk Driving
08-07-2004,Night,Illinois,Foggy,Under Construction,0,Speeding
17-10-2020,Afternoon,West Virginia,Clear,Fine,8,Speeding
11-12-2017,Night,Texas,Clear,Fine,1,Road Conditions
26-12-2019,Night,Wisconsin,Clear,Rough,5,Road Conditions
06-02-2018,Afternoon,Washington,Rainy,Under Construction,3,Speeding
19-10-2021,Night,Alaska,Foggy,Under Construction,10,Weather Conditions
03-04-2014,Night,Illinois,Clear,Rough,6,Drunk Driving
02-06-2016,Afternoon,Vermont,Foggy,Under Construction,9,Reckless Driving
12-04-2021,Evening,New York,Rainy,Rough,2,Mechanical Failure
24-11-2007,Morning,Alaska,Clear,Rough,10,Driver Fatigue
26-05-2023,Evening,Georgia,Clear,Under Construction,4,Poor Visibility
25-06-2016,Morning,Georgia,Rainy,Rough,8,Poor Visibility
05-07-2009,Night,New Mexico,Rainy,Rough,4,Mechanical Failure
19-05-2001,Afternoon,West Virginia,Clear,Fine,5,Road Conditions
11-12-2017,Afternoon,Vermont,Rainy,Rough,2,Weather Conditions
26-10-2019,Afternoon,Illinois,Foggy,Fine,6,Mechanical Failure
11-03-2021,Evening,Minnesota,Rainy,Fine,6,Driver Fatigue
24-02-2006,Afternoon,Nevada,Clear,Rough,10,Driver Fatigue
02-01-2010,Morning,Louisiana,Foggy,Fine,10,Poor Visibility
08-07-2019,Night,Florida,Clear,Under Construction,0,Drunk Driving
29-10-2009,Morning,Virginia,Clear,Rough,9,Reckless Driving
01-07-2004,Morning,Washington,Foggy,Fine,6,Speeding
30-12-2017,Night,Wyoming,Foggy,Rough,5,Reckless Driving
27-11-2005,Morning,Texas,Clear,Rough,9,Mechanical Failure
04-03-2015,Night,Arizona,Rainy,Under Construction,0,Road Conditions
07-07-2011,Afternoon,South Carolina,Clear,Rough,1,Drunk Driving
14-05-2012,Evening,Florida,Foggy,Fine,9,Weather Conditions
19-10-2021,Morning,Pennsylvania,Foggy,Fine,3,Drunk Driving
22-06-2002,Night,West Virginia,Rainy,Rough,1,Reckless Driving
28-11-2014,Afternoon,New York,Clear,Rough,10,Reckless Driving
21-11-2015,Morning,West Virginia,Foggy,Fine,6,Road Conditions
19-02-2011,Evening,New Mexico,Clear,Fine,4,Road Conditions
01-03-2006,Night,Ohio,Foggy,Fine,1,Reckless Driving
15-07-2000,Night,Ohio,Clear,Fine,4,Weather Conditions
16-05-2013,Night,Washington,Rainy,Fine,5,Distracted Driving
19-10-2022,Night,New Jersey,Foggy,Rough,8,Poor Visibility
07-09-2009,Morning,Minnesota,Rainy,Fine,1,Reckless Driving
18-07-2014,Afternoon,Pennsylvania,Rainy,Under Construction,9,Road Conditions
02-02-2015,Night,Ohio,Clear,Fine,2,Drunk Driving
27-08-2013,Afternoon,Iowa,Foggy,Under Construction,3,Poor Visibility
08-10-2006,Morning,Montana,Foggy,Under Construction,2,Drunk Driving
06-03-2004,Evening,New Jersey,Rainy,Rough,0,Speeding
20-08-2001,Afternoon,New Jersey,Foggy,Under Construction,7,Reckless Driving
03-10-2009,Evening,Texas,Rainy,Fine,7,Weather Conditions
26-10-2012,Afternoon,New Mexico,Rainy,Under Construction,3,Distracted Driving
05-05-2013,Afternoon,Montana,Clear,Rough,0,Driver Fatigue
09-05-2000,Morning,California,Clear,Under Construction,5,Road Conditions
19-03-2009,Night,Florida,Rainy,Under Construction,7,Distracted Driving
12-06-2003,Morning,Louisiana,Foggy,Under Construction,10,Reckless Driving
13-04-2015,Night,North Carolina,Rainy,Under Construction,10,Distracted Driving
24-11-2011,Night,West Virginia,Rainy,Fine,3,Reckless Driving
27-05-2019,Night,New York,Clear,Rough,7,Drunk Driving
09-02-2022,Morning,Georgia,Clear,Fine,7,Poor Visibility
12-03-2013,Afternoon,Wyoming,Foggy,Under Construction,10,Speeding
24-08-2003,Morning,Wisconsin,Rainy,Under Construction,5,Weather Conditions
27-03-2000,Afternoon,New Mexico,Rainy,Under Construction,1,Distracted Driving
27-02-2001,Afternoon,Vermont,Foggy,Fine,8,Reckless Driving
15-06-2023,Evening,Texas,Foggy,Rough,4,Driver Fatigue
26-04-2016,Afternoon,Florida,Clear,Fine,3,Drunk Driving
23-09-2001,Afternoon,Minnesota,Rainy,Rough,7,Reckless Driving
27-07-2008,Morning,Vermont,Rainy,Under Construction,2,Road Conditions
19-05-2013,Night,Pennsylvania,Foggy,Rough,10,Speeding
24-01-2010,Morning,New Mexico,Foggy,Rough,8,Road Conditions
01-10-2001,Morning,Illinois,Clear,Rough,6,Driver Fatigue
11-02-2019,Afternoon,Wyoming,Clear,Rough,2,Road Conditions
14-04-2009,Night,Wisconsin,Foggy,Fine,10,Distracted Driving
08-11-2007,Morning,Virginia,Rainy,Under Construction,3,Reckless Driving
26-12-2022,Afternoon,New Jersey,Clear,Under Construction,5,Driver Fatigue
29-04-2020,Afternoon,Virginia,Foggy,Rough,4,Driver Fatigue
25-05-2000,Afternoon,Illinois,Foggy,Fine,1,Road Conditions
31-07-2004,Morning,Virginia,Rainy,Fine,9,Poor Visibility
16-06-2002,Morning,Wyoming,Foggy,Rough,0,Distracted Driving
06-10-2001,Evening,Colorado,Foggy,Under Construction,1,Poor Visibility
23-11-2000,Morning,Alaska,Foggy,Fine,7,Poor Visibility
17-03-2022,Evening,West Virginia,Clear,Fine,4,Poor Visibility
19-05-2019,Night,New Jersey,Rainy,Under Construction,6,Drunk Driving
28-07-2023,Morning,New York,Clear,Rough,3,Weather Conditions
31-05-2008,Morning,Florida,Clear,Rough,1,Distracted Driving
09-06-2013,Afternoon,Indiana,Foggy,Under Construction,5,Mechanical Failure
27-09-2005,Night,Wyoming,Rainy,Under Construction,9,Driver Fatigue
20-05-2017,Night,Texas,Rainy,Under Construction,3,Weather Conditions
27-07-2005,Night,Michigan,Rainy,Rough,10,Driver Fatigue
29-05-2002,Night,Iowa,Rainy,Fine,5,Poor Visibility
27-06-2023,Night,Alaska,Rainy,Under Construction,5,Driver Fatigue
14-04-2022,Night,Ohio,Clear,Under Construction,7,Driver Fatigue
21-07-2003,Afternoon,Washington,Rainy,Fine,0,Distracted Driving
28-03-2003,Evening,Michigan,Foggy,Fine,2,Weather Conditions
31-03-2016,Night,Vermont,Rainy,Under Construction,9,Reckless Driving
10-09-2016,Afternoon,Arizona,Rainy,Under Construction,4,Mechanical Failure
30-05-2014,Night,California,Rainy,Fine,7,Reckless Driving
29-04-2008,Evening,Texas,Rainy,Rough,5,Speeding
15-12-2012,Afternoon,California,Rainy,Fine,1,Poor Visibility
29-07-2020,Night,North Carolina,Rainy,Fine,0,Poor Visibility
03-01-2011,Night,California,Clear,Rough,2,Drunk Driving
12-08-2005,Morning,New Jersey,Clear,Under Construction,0,Poor Visibility
20-09-2020,Afternoon,New Mexico,Foggy,Fine,9,Drunk Driving
18-07-2003,Night,Indiana,Rainy,Rough,3,Speeding
10-08-2009,Night,Iowa,Foggy,Under Construction,3,Drunk Driving
30-06-2020,Morning,Louisiana,Clear,Under Construction,3,Weather Conditions
12-10-2022,Evening,California,Clear,Under Construction,3,Mechanical Failure
18-06-2023,Afternoon,Florida,Rainy,Rough,7,Mechanical Failure
05-06-2004,Night,Texas,Rainy,Under Construction,6,Road Conditions
29-09-2018,Afternoon,Montana,Clear,Under Construction,3,Weather Conditions
30-05-2011,Evening,Nevada,Rainy,Rough,2,Driver Fatigue
10-01-2010,Afternoon,Florida,Foggy,Rough,2,Distracted Driving
12-12-2002,Evening,Iowa,Foggy,Under Construction,5,Reckless Driving
04-10-2007,Night,Vermont,Foggy,Under Construction,6,Mechanical Failure
03-11-2022,Afternoon,Virginia,Clear,Rough,4,Weather Conditions
21-05-2007,Night,Texas,Rainy,Fine,10,Speeding
13-12-2011,Night,Georgia,Rainy,Fine,10,Weather Conditions
05-05-2023,Afternoon,Wisconsin,Rainy,Rough,1,Road Conditions
13-07-2016,Evening,Montana,Rainy,Under Construction,4,Weather Conditions
10-03-2005,Afternoon,Arizona,Rainy,Under Construction,2,Distracted Driving
21-01-2016,Afternoon,Wisconsin,Rainy,Fine,7,Speeding
01-04-2017,Evening,Vermont,Clear,Rough,10,Distracted Driving
28-01-2020,Morning,New Jersey,Clear,Under Construction,0,Mechanical Failure
02-06-2008,Afternoon,Wisconsin,Rainy,Under Construction,6,Weather Conditions
30-04-2022,Morning,Nevada,Rainy,Under Construction,6,Weather Conditions
06-07-2002,Evening,Louisiana,Foggy,Rough,10,Road Conditions
02-05-2014,Evening,Washington,Rainy,Under Construction,7,Distracted Driving
31-01-2003,Afternoon,Illinois,Clear,Fine,3,Distracted Driving
21-10-2007,Evening,Alaska,Rainy,Fine,10,Distracted Driving
24-11-2015,Night,Iowa,Clear,Under Construction,1,Mechanical Failure
21-11-2015,Night,Ohio,Clear,Fine,10,Reckless Driving
03-11-2003,Night,Virginia,Foggy,Fine,9,Road Conditions
25-08-2008,Afternoon,California,Foggy,Fine,8,Distracted Driving
17-09-2014,Morning,Washington,Rainy,Fine,3,Poor Visibility
10-12-2001,Night,Nevada,Foggy,Rough,3,Road Conditions
21-01-2004,Night,Wisconsin,Rainy,Under Construction,3,Speeding
18-11-2003,Afternoon,Ohio,Foggy,Under Construction,1,Mechanical Failure
22-11-2023,Afternoon,Florida,Rainy,Fine,0,Distracted Driving
03-09-2023,Morning,Georgia,Rainy,Rough,3,Road Conditions
25-03-2002,Morning,Vermont,Clear,Rough,5,Reckless Driving
08-04-2016,Afternoon,Virginia,Foggy,Under Construction,10,Mechanical Failure
25-04-2006,Afternoon,Minnesota,Clear,Under Construction,1,Poor Visibility
25-11-2018,Evening,Florida,Foggy,Fine,7,Speeding
19-01-2016,Night,Virginia,Rainy,Under Construction,6,Mechanical Failure
10-12-2008,Afternoon,Alaska,Clear,Rough,2,Road Conditions
07-07-2018,Evening,Michigan,Clear,Fine,9,Drunk Driving
09-03-2004,Evening,Arizona,Foggy,Fine,1,Mechanical Failure
08-01-2005,Night,Ohio,Rainy,Rough,10,Weather Conditions
22-12-2020,Morning,Georgia,Rainy,Rough,4,Drunk Driving
12-11-2019,Morning,Nevada,Clear,Fine,0,Mechanical Failure
03-09-2018,Afternoon,Indiana,Foggy,Under Construction,6,Distracted Driving
27-11-2010,Night,New Jersey,Foggy,Fine,7,Driver Fatigue
13-08-2011,Night,North Carolina,Foggy,Fine,2,Driver Fatigue
15-05-2017,Night,Iowa,Clear,Under Construction,2,Poor Visibility
27-11-2019,Morning,California,Rainy,Fine,6,Mechanical Failure
23-09-2004,Afternoon,Florida,Rainy,Fine,0,Weather Conditions
07-06-2018,Afternoon,Texas,Clear,Fine,4,Reckless Driving
29-07-2019,Morning,New Jersey,Rainy,Under Construction,8,Speeding
13-02-2011,Evening,Illinois,Clear,Fine,1,Speeding
29-05-2021,Night,Virginia,Rainy,Rough,8,Road Conditions
06-10-2017,Morning,California,Clear,Rough,0,Road Conditions
12-07-2015,Morning,Alaska,Clear,Fine,4,Speeding
20-09-2023,Afternoon,Minnesota,Clear,Fine,8,Speeding
15-09-2020,Night,Illinois,Rainy,Rough,4,Weather Conditions
09-11-2009,Afternoon,Minnesota,Foggy,Rough,5,Mechanical Failure
25-06-2020,Morning,Ohio,Clear,Rough,7,Poor Visibility
30-03-2013,Night,New York,Rainy,Fine,9,Speeding
12-02-2005,Morning,Indiana,Clear,Rough,6,Driver Fatigue
02-06-2019,Night,New Mexico,Rainy,Under Construction,6,Mechanical Failure
03-08-2022,Morning,Nevada,Rainy,Rough,0,Reckless Driving
20-08-2004,Evening,Colorado,Rainy,Fine,4,Distracted Driving
04-10-2000,Night,South Carolina,Rainy,Fine,6,Poor Visibility
03-11-2011,Evening,Ohio,Foggy,Under Construction,10,Road Conditions
12-05-2001,Morning,Vermont,Foggy,Fine,4,Mechanical Failure
14-06-2013,Evening,California,Clear,Fine,4,Weather Conditions
20-01-2006,Evening,Wisconsin,Foggy,Fine,6,Weather Conditions
16-09-2002,Morning,South Carolina,Foggy,Rough,8,Distracted Driving
28-08-2002,Night,South Carolina,Clear,Rough,1,Road Conditions
13-08-2020,Evening,Washington,Rainy,Rough,2,Drunk Driving
21-02-2008,Evening,Virginia,Clear,Under Construction,9,Weather Conditions
03-09-2014,Evening,Vermont,Clear,Under Construction,10,Reckless Driving
06-11-2015,Evening,Iowa,Rainy,Rough,0,Drunk Driving
23-01-2008,Night,New Jersey,Clear,Fine,8,Speeding
08-11-2008,Morning,New Jersey,Rainy,Fine,2,Distracted Driving
12-01-2006,Evening,Montana,Clear,Fine,5,Poor Visibility
